发展中 的 研究 现状 作
机制 的 研究 进展 Blank
Blank Blank 肿瘤 干 细胞 理论 认为 绝大多数 肿瘤
理论 认为 绝大多数 肿瘤 起源于
目前 的 研究 提示 肿瘤
的 研究 提示 肿瘤 干
的 起源 或 许 是 多样性
的 ， 可以 起源于 组织
肿瘤 细胞 在 一定 条件 下 也 可能
下 也 可能 转化 成
， 并 能 有效 地
本 实验 探讨 抗 CD3
组 ， 比较 双 功能
ELISA 法 比较 激活 的
比 对照组 明显 增强 （
表达 均 明显 高于 对照组
Blank Blank 结论 ： 双
细胞 具有 较 强 的
YCD/5-FC 对人 急性 淋巴 细胞
效应 的 研究 Blank Blank
YCD ） 可 将 无毒性
） 可 将 无毒性 的
Blank 本 研究 中 构建
体 内外 观察 YCD/5-FC 自杀
克隆 技术 将 YCD 和
Blank Blank 将 3 质粒
5-FC ， 观察 对靶 细胞
皮下 ， 观察 体内 肿瘤
该 病毒 可 高效 转染
， Westernblot 显示 转基因 细胞
转基因 细胞 可 分泌 YCD
96 h 可 杀伤 （
混合 培养 提示 存在 明显
提示 存在 明显 的 旁观者
转基因 细胞 可 在 小鼠
， 5-FC 可 明显 抑制
5-FC 可 明显 抑制 肿瘤
Blank Blank 结论 ： 成功
乳腺癌 疗效 观察 Blank Blank
， 预后 较 差 ，
差 ， 尤其 对于 复发
治疗 更是 很 难 达到
目前 仍 存在 争议 ， 有可能
争议 ， 有可能 一些 亚组
， 有可能 一些 亚组 人群
Blank 本 研究 旨在 探讨
研究 旨在 探讨 外周 造血
应用 化疗 多 西 他
化疗 ： 多 西 他
化疗 ： 多 西 他
组 ： 多 西 他
个 周期 或 至 疾病
Blank Blank 比较 两 组
HDC 组 部分 缓解 5
SDC 组 部分 缓解 1
， 差异 接近 有 统计学
Blank Blank 结论 ： 干
进一步 推广 研究 。 Blank
甲基化 异常 可以 概括 为
Blank 本 研究 探讨 抑
本 研究 探讨 抑 癌基因
甲基化 检出率 明显 高于 癌旁
表达 量 明显 低于 乳腺
Blank Blank 结论 ： BRCA1
BRCA1 甲基化 能够 增加 乳腺癌
MS 基因 可能 通过 影响
通过 影响 部分 肿瘤 相关
中 预后 最 差 的
Blank Blank 大量 研究 表明
Blank 大量 研究 表明 塞来昔布
大量 研究 表明 塞来昔布 （
） 具有 很 好 的 抗
活性 ， 可以 抑制 肿瘤
侵袭 活性 之间 的 关系
本 实验 研究 塞来昔布 作用
并 初步 探讨 其 可能
探讨 其 可能 的 机制 。
实验 结果 显示 ， 经
趋化 运动 明显 减少 ，
的 细胞 较 对照组 显著
实验 结果 显示 ， 经
的 细胞 数 明显 减少
细胞 数 明显 减少 （
RT-PCR 结果 显示 ， 经
Blank Blank 结论 ： 塞来昔布
： 塞来昔布 能 显著 地
该 作用 可能 与 抑制
celecoxib ） 能 有效 增强
作用 机制 尚 不 清楚 。 Blank
Blank 本 研究 探讨 塞来昔布
本 研究 探讨 塞来昔布 对人
组 相 比较 ， 实验组
表达 无 明显 差异 ，
但 塞来昔布 能 抑制 pAkt
而 放射线 能 上调 其
表达 有 明显 抑制 作用
Blank Blank 结论 ： 塞来昔布
， 其 可能 的 机制 是
对 Her-2 过 表达 乳腺癌
诱导 凋亡 研究 Blank Blank
衍生物 ， 研究 已 证实
研究 已 证实 其 可
证实 其 可 诱导 乳腺癌
于 Her-2 过 表达 乳腺癌
率 ， 比较 各 种
， 比较 各 种 组合 对
对 Her-2 过 表达 乳腺癌
Blank Blank 结论 ： VES
变化 的 研究 Blank Blank
机制 目前 尚 不 完全 清楚 ， 多数
清楚 ， 多数 认为 雄
， 多数 认为 雄 激素
的 变化 可能 起 重要
， 本 研究 主要 探讨
本 研究 主要 探讨 AR
研究 主要 探讨 AR 基因
两 者 之间 差异 有
两 者 之间 差异 无
Blank Blank 结论 ： AR
Blank Blank 近年 来 ， 国外
阴茎 癌的 研究 重点 集中
现 初步 评价 SPECT/CT 在
6 例 可 见 淋巴结 显影
， SPECT/CT 能 更 精确
， 不仅 能 检出 平面
显影 不易 或 不 能
或 不 能 发现 的
不 能 发现 的 淋巴结
患者 中 多 发现 3
中 多 发现 3 枚
同时 还 可以 发现 异位
还 可以 发现 异位 的
Blank Blank 结论 ： SPECT/CT
： SPECT/CT 能够 精确 的
患者 ， 可 通过 SPECT/CT
进行 淋巴结 评估 和 随访
膀胱癌 的 研究 进展 Blank
Blank Blank 微小 RNA （
Blank 目前 研究 证实 ，
目前 研究 证实 ， miRNA
， miRNA 可 通过 不同
参与 人类 多种 肿瘤 的
中 的 研究 进展 。
临床 病理 研究 及 文献
长期 以来 未 被 重视 ，
国内外 文献 多 为 个例 报道
为 个例 报道 ， 本文
， 本文 主要 探讨 PL
本文 主要 探讨 PL 的
方法 ： 观察 5 例PL
的 临床 表现 。 Blank
呈 多角 或 不规则 形
检测 结果 显示 ， Vimentin
Blank Blank 结论 ： PL
于 产后 可 自行 消退
， 孕妇 或 女婴 可能
或 女婴 可能 会 有 男性化
