纤维化 组 之间 差异 有
肝硬化 组 之间 差异 均
3 个 预测 模型 中
模型 中 最 大 ，
的 灵敏度 较 高 ，
的 特异性 较 高 ，
Blank Blank 结论 ： 临床
指标 对 评价 非 病毒性
程度 有 一定 的 预测 意义
一定 的 预测 意义 。
肝硬化 有 一定 的 诊断 预测
的 诊断 预测 价值 。
目的 ： 观察 环 肺静脉
变化 ， 探讨 环 肺
术后 定期 根据 症状 及
心电图 随访 判断 手术 成功
联 术后 较 术前 明显
较 术前 明显 降低 （
导联 术后 较 术前 明显
较 术前 明显 降低 （
联 术后 较 术前 明显
较 术前 明显 降低 （
Blank Blank 结论 ： 环
P波 振幅 明显 降低 ，
降低 ， 提示 左心房 整体
整体 除 极 电量 下降
极性 变化 提示 P波 整体
与否 无 预测 价值 。
模型 愈合 评价 Blank Blank
模型 ， 研究 全身 辐射
影响 ， 探讨 其 病理
体质 量 较 伤 前
程度 愈加 明显 。 Blank
H-E 染色 显示 ： 与
数量 增多 明显 滞后 ，
Blank Blank 结论 ： 6Gy60
机制 的 研究 和 早期
治疗 提供 研究 平台 。
分析 ， 探讨 建立 人
数据 进行 比较 分析 。
后 分析 发现 ， 致伤
损伤 的 严重 程度 及
Blank Blank 结论 ： 运用
的 方法 可 动态 模拟
数据 进行 比较 分析 ，
， 以 研究 不同 致伤
损伤 的 严重 程度 及
目的 ： 探讨 炎症 因子
波及 到 许多 “ 无辜
在 不同 观察 时间 点
的 表达 较 假 手术组
手术组 均 明显 增强 （
PDTC 干预 能 抑制 CME
Blank Blank 结论 ： CME
提供 理论 依据 。 Blank
蛋白 的 相对 含量 。
的 相对 含量 。 Blank
芯片 技术 发现 在 大
中 表达 明显 高于 肝转移
灶 表达 明显 高于 原
Blank Blank 结论 ： 利用
芯片 技术 可以 为 大
的 机制 研究 及 诊断
目的 ： 探讨 基于 TEM8
细胞 ， 将 该 细胞
： Ad-TEM8 能 有效 激发
毒性 作用 能 有效 抑制
， 产生 明显 的 血管
Blank Blank 结论 ： Ad-TEM8
： Ad-TEM8 可 诱导 小鼠
机制 之一 可能 是 抑制
Blank TEM8 可能 成为 抗
目的 ： 探讨 少突 胶质
细胞 数目 较 正常 小鼠
Blank Blank 结论 ： 少突
时空 特异性 或 差异性 调节
子 ， 将 PCR 扩增
， 测序 验证 正确 后
HBeAg 检测 呈现 阳性 ，
区 片段 可 通过 PCR
West-ernbot 结果 提示 只有 细胞
株 HepG2-H7 可以 表达 HBV
Southernblot 结果 说明 此 细胞株
， 并且 能 在 细胞内
Blank Blank 结论 ： 成功
HepG2-H7 ， 能 持续 产生
： 初步 探讨 胃癌 BGC-823
影响 及其 可能 机制 。
脂质体 介导法 将 p115 shRNA-1318
mRNA 表达 明显 抑制 （
增殖 能力 明显 降低 （
组 HUVECs 较 空白 对照组
侵袭 能力 明显 降低 ，
的 细胞 数 分别 为
HUVECs 不 能 在 Matrigel
Blank Blank 结论 ： p115
分子 机制 可能 与 MIF
的 实验 研究 Blank Blank
基因 ， 观察 乳腺癌 MCF-7
变化 ， 探讨 其 作用
方法 ： 将 Prx-shRNA 真核
形成 实验 观察 克隆 形成
Westernbolt 检测 显示 pGPU6-Prx-Ⅰ组 中
表达 均 明显 抑制 。
和 细胞凋亡 明显 增加 ，
S期 细胞 明显 降低 ，
Westernblot 分析 表明 Rad51 蛋白
组 变化 最 显著 ，
Blank Blank 结论 ： 下调
基因 表达 可 提高 乳腺癌
- Ⅰ 可能 是 1
目的 ： 探讨 雌 激素
病理 特征 之间 ， 以及
和 PR 主要 表达 于
细胞质 ， 少量 表达 于
Blank Blank 结论 ： 雌
发展 ， 可能 是 潜在
影响 并 探讨 其 作用
内 多胺 含量 ； 化学
QT-RT-PCR 结果 显示 ， OAZI-1
CPENSpm 处理 能 更 显著
的 多胺 含量 ， 同时
Blank Blank 结论 ： CPENSpm
CPENSpm 处理 能 在 更大
肿瘤 细胞 显示 出 更大
目的 ： 探讨 小 干扰
脂质体 法 将 针对 p15
浓度 和 最 有效 的
Blank RT-PCR 显示 siRNAY3 干扰
和 Westernblot 显示 p15 表达
Blank Blank 结论 ： 在
的 表达 可 降低 G1
目的 ： 观察 大鼠 子宫
HE 染色 比较 实验组 和
和 对照组 比较 ， 模型
0.16 ） 比较 均 显著
） ] 较 对照组 [
） ] 明显 高于 对照组
0.19 ） 明显 低于 对照组
Blank Blank 结论 ： 子宫
表达 增加 可能 是 薄型
目的 ： 观察 大鼠 蛛网膜
两 者 之间 的 关系
关系 ， 探讨 电压 依赖性
方法 ： 将 SD 大鼠
Tunel ） 观察 SAH 后
水平 ， 还是 在 蛋白质
h 均 明显 增加 [
h 时 基本 恢复 正常
TUNEL法 检测 显示 大鼠 SAH
凋亡 细胞 数 开始 增加
Blank Blank 结论 ： SAH
的 ， 提示 VDAC1 可能
提示 VDAC1 可能 通过 细胞凋亡
目的 ： 探讨 人 宫颈癌
细胞株 ， 将 PD-L1+HeLa 细胞
-- 的 含量 。 Blank
MTT 检测 显示 与 PD-L1+HeLa
） ， 明显 低于 与
T细胞凋亡 率 明显 高于 与
细胞 比值 稍 低于 PD-L1-HeLa
-- 的 含量 低于 与
Blank Blank 结论 ： PD-L1
： PD-L1 明显 抑制 人
中的 疗效 比较 Blank Blank
Blank 临床 研究 证实 ，
临床 研究 证实 ， 在
标本 检测 显示 EGFR 基因
线 治疗 还是 二 线
线 治疗 尚存 争议 。 Blank
本文 对 多 项 临床 研究
项 临床 研究 进行 分析
， 以 探讨 EGFR-TKI 用于
Blank Blank 近年 来 ， 不动
感染 的 常见 病原菌 ，
， 并 呈现 多重 耐药
、 危害 严重 。 Blank
的 数据 显示 ， 不动
不动 杆菌 最 常见 的 感染
SENTRY ） 显示 ， 不动
HAP ） 常见 致病 原
