细胞 移植 或 直接 诱导
6 ] 研究 表明 人
] 研究 表明 人 的
Quaini 等 研究 结果 显示
研究 结果 显示 在 心肌
细胞 有 一定 的 修复 作用
这些 都 说明 心肌 在
说明 心肌 在 一定 条件 下 可以 恢复
条件 下 可以 恢复 其
8 ] 研究 证明 一
] 研究 证明 一 周
再生 能力 可以 为 诱导
广泛 应用于 各 种 研究 ，
各 种 研究 ， 有
， 3d 可 明显 检测
3d 可 明显 检测 到
荧光 不再 能 检测 到
核内 仍 能 检测 到
未 出现 明显 心率 失常
心肌 未 发现 病变 。
6 d 左右 ， 14
表达 量 明显 增高 （
） ， 说明 Oct4 能
说明 Oct4 能 促进 对
] 的 研究 结果 一致
增加 ， 表明 梗死区 有
的 情况 有待 进一步 研究 。 Blank
Blank Blank 研究 表明 在
Blank 研究 表明 在 人乳
Blank Blank 可以 设想 ，
Blank 可以 设想 ， 人为
诱导 因子 是否 会 出现
因子 是否 会 出现 细胞
产生 是 研究 的 重要
HE 染色 显示 心肌 细胞
12 ] 证明 小分子 物质
小分子 物质 可 促进 心肌
实验 并未 验证 心肌 再生
功能 进行 研究 ， 这
， 这 将 是 以后 研究
是 以后 研究 的 重点
由于 PCAF 主要 作用 于
此外 PCAF 能够 乙酰化 如
有 实验 证实 PCAF 在
PCAF 在 多 种 肿瘤 中
表达 降低 或 不 表达
实验 中 证实 过 表达
中 证实 过 表达 胃癌
PCAF ， 可以 抑制 胃癌
等 也 发现 表达 降低
表达 降低 或 不 表达
Blank 有 研究 从 表观
的 角度 证实 PCAF 表达
表达 缺失 或 变异 和
， 但 尚 未 见 有关
上 的 研究 报道 [ 5
实验 通过 研究 HCC 及
表达 ， 发现 癌旁 组织
组织 ， 提示 PCAF 表达
表达 降低 可能 与 HCC
Blank 进一步 研究 发现 HCC
进一步 研究 发现 HCC 组织
TNM 分期 明显 正 相关
相关 ， 提示 PCAF 可能
提示 PCAF 可能 在 HCC
术后 生存期 明显 长于 低
分析 结果 提示 PCAF 表达
良好 预后 明显 正 相关
Blank Blank 多 因素 分析
分析 也 提示 ， 与
实验 数据 提示 PCAF 可能
提示 PCAF 可能 是 一
具有 成为 预测 HCC 术后
分子 机制 仍 不 清楚 。 Blank
Blank Blank 有 文献 报道 PCAF 的
抑癌 作用 可能 是 通过
. 期 或 G1 期
PCAF 还 能够 恢复 肿瘤
与 本 研究 发现 的
本 研究 发现 的 PCAF
不同 ， 有 文献 报道 [ 16-17
肺癌 的 研究 中 ，
中 ， 发现 PCAF 能够
发现 PCAF 能够 促进 肿瘤
的 实验 证实 采用 小
干扰 RNA 可以 对 PCAF
这些 截然相反 研究 结果 提示
研究 结果 提示 PCAF 在
的 作用 较为 复杂 ，
作用 机制 尚 未 完全 探明
尚 未 完全 探明 ，
需 进一步 研究 其 作用
， 所得 结论 并不 能
结论 并不 能 完全 代表
并不 能 完全 代表 一般
的 PCAF 可能 参与 了
具有 成为 预测 HCC 患者
素辅基 ， 相对 分子 质量
Mr ） 约 为 130.000[9 ]
Blank Blank 据 研究 报道 PC 是
及 增殖 或 肿瘤 细胞
的 表达 或 抑制 相关
Blank Blank 近年 来 在 鼠肝
均 相继 报道 发生 了
活化 ， 提示 PC 在
临床 意义 尚 未 见 报道
未 见 报道 。 Blank
法 检测 显示 ， PC
表达 水平 明显 高于 其
进一步 分析 发现 PC 表达
检测 结果 显示 ， PC
Blank 前期 研究 表明 ，
前期 研究 表明 ， PC
已经 被 提出 有望 成为
被 提出 有望 成为 肿瘤
Blank 本 研究 首次 通过
组化 方法 证实 PC 在
病理 资料 之间 的 关系
， 结果 证实 PC 的
， 与 文献 报道 相 一致
， 本 研究 结果 提示
研究 结果 提示 PC 在
发展 中 可能 起 一定
可能 起 一定 作用 ，
， PC 有可能 作为 胃癌
中 巨噬细胞 是否 有 相同
Blank 曾经 有 人 推测 小 胶质
Blank 但 最近 研究 显示
但 最近 研究 显示 :
最近 研究 显示 : 小
胶质 细胞 主要 来源于 胚胎
上皮 中 发现 巨噬细胞 样
这些 细胞 可能 是 小
胶质 细胞 可能 通过 一
贡献 并 不 太 大 [
Blank 巨噬细胞 可以 分为 驻留
源 上 还是 分子 表型
下 ， 可以 极 化为
， 可以 极 化为 M1
， 则 极 化为 M2
Blank Blank 有 研究 显示 正常 脊髓
胶质 细胞 呈现 M2 样
反应 ， 当 脊髓 损伤
的 头 几 天 中
上调 ， 多数 小 胶质
， 仅有 一 小 部分 小 胶质
/ 巨噬细胞 如果 极 化成
巨噬细胞 如果 极 化成 M1
胶质 细胞 如果 分化 成
细胞 还 可以 合成 和
Blank 本 研究 显示 :
本 研究 显示 : 单纯
206 ， 说明 体外 培养
下 ， 可以 分别 向
