活性 已 证明 与 逆转录
颗粒量 有 一定 联系 [
， 本 研究 检测 到
活性 同时 提示 猪肝 细胞
PERV 颗粒 较 少 。
以前 的 报道 多是 采用
于 定量 或 半定量 分析
病毒 量 太 少 检测
压 的 研究 Blank Blank
目前 的 研究 中 可以
研究 中 可以 进行 无
的 方法 主要 有 脉搏
Blank 相 比较 而言 ，
使 探头 能 准确 定位
反应 要求 较 高 ，
的 影响 较 大 。
测量 方法 能够 解决 张力法
Blank 然而 当 进行 长时间
等 变化 较 大 ，
幅度 也 较 大 ，
PWTT 并不 能 完全 同步
并不 能 完全 同步 跟踪
血压 的 大幅 变化 。
Blank Blank 尤其 值得 指出
尤其 值得 指出 的 是
导致 血压 估计 产生 较
估计 产生 较 大 的 误差 。
与 其他 研究 相比 ，
动脉血 压 估计 ， 与
法 相比 相对 误差 小于
参数 通过 多 参数 回归
张力 测定法 比较 ， 平均
脉搏 波 估计 动脉 血压
和 舒张压 估计 的 平均
Wong 等 研究 的 两
传播 时间 估计 收缩压 的
误差 时 经常 采用 的
分别 为 相对 误差 或
相对 误差 或 均 方根
， 相 比较 而言 ，
方根 误差 较 相对 误差
误差 较 相对 误差 条件
误差 比 相对 误差 数值
更 大 一些 。 Blank
段 的 相对 误差 为
动脉 血压 之间 的 回归
并 求得 估计 血压 与
实际 血压 之间 的 均
和 舒张压 之间 具有 高度
之间 具有 高度 相关性 。
血压 对 研究 心 输出量
PWTT 同样 可以 计算 收缩压
舒张压 ， 研究 表明 PWTT
， 研究 表明 PWTT 和平
时间 有 明显 的 相关性
压 有 一定 的 限制 。
的 结果 表明 ， 使用
传播 时间 估计 动脉血 压在
动脉血 压在 一定 时间 范围
血压 变化 不 太 剧烈 的
下 ， 估计 效果 较
估计 效果 较 好 。
Blank Blank 当 血压 波动
， 血压 估计 的 准确性
的 准确性 明显 降低 。
， 有 几 例 数据
PWTT 变化 不 大 ， 这
， 这 表明 PWTT 受
的 因素 比较 复杂 ，
变化 并不 能 通过 与
线性 关系 完全 表征 。
去除 一 过 性 干扰
干扰 效果 较好 ， 但
， 但 当 为 消除
而 采用 较 长 的 滤波 时间
从而 增大 估计 误差 。
间 窗 较 大 时
检测 方法 可 提高 PWTT
改善 血压 估计 效果 。
Blank Blank 研究 发现 ，
Blank 研究 发现 ， 总体上
， 二者 呈现 正 相关
具体 原因 有待 进一步 研究 。 Blank
跨膜 电压 研究 Blank Blank
仿真 分析 可见 ， 随着
， 且 当 细胞膜 电导率
的 作用 相对 不断 增强
与 现有 研究 认为 微秒
现有 研究 认为 微秒 脉冲
Blank 为 验证 理论 分析
Blank 前期 研究 已经 证实
研究 已经 证实 [ 2
增加 又 会 导致 细胞膜
， 就 可以 模拟 细胞膜
， 前期 研究 也 表明
研究 也 表明 [ 12-14
] ， 当 外加 脉冲
增强 至 一定 程度 时 ，
时 ， 将 会 使 细胞器
出现 不可逆性 过度 开放 并
的 不可逆性 过度 开放 ，
