彩超 检查 发现 ， 术前
UAE 前 比较 差异 有
过多 为 主要 症状 的
血流 信号 明显 。 Blank
肌瘤 内 可 探及 不同
与 术前 接近 ， 肌瘤
血流 信号 较 术前 稀少
较 术前 稀少 。 Blank
体积 无 明显 缩小 ；
CT 平扫 发现 ， 术后
以 肌瘤 明显 。 Blank
沉积 ， 比较 术后 当天
密度 无 明显 改变 。
均 有 明显 强化 ，
强化 ， 提示 肌瘤 血
与 术前 基本 一致 ，
强化 均 较 术前 轻
均 有 明显 强化 。
痛经 得以 明显 缓解 。
结果 的 比较 差异 无
切片 检查 证实 其为 坏死
例 造影 发现 支气管 动脉
例 造影 发现 第1 次
， 均 显示 侧 支
Blank Blank 可见 侧 支
进展 、 多 器官 功能
Blank Blank 轻度 并发症 6
， 伴有 轻度 呼吸 困难
班 对 急性 心肌 梗死
血流 比率 明显 高于 晚期
3 例 轻度 出血 （
2 例 轻度 出血 （
水平 无 明显 差异 （
治疗 组 明显 低于 晚期组
事件 的 比较 早期 治疗
的 发生 明显 优于 晚期
组 无 明显 差异 （
的 对照 研究 Blank Blank
周 最为 明显 。 Blank
超声 像图 表现 被 栓塞
临床 触诊 基本 相同 。
Blank CT 多 表现 为
CT 多 表现 为 2 周
后 出现 明显 的 低密
， 范围 较 弥散 ，
， 边缘 较为 清楚 ，
脾脏 体积 多 在 5~7d
3 周 明显 。 Blank
Blank CT 多 表现 为
CT 多 表现 为 较为 集中
表现 为 较为 集中 的
内陷 不 明显 。 Blank
1 周 左右 白细胞 和
3 周 左右 趋于 平稳
周 达 最 高 值
后 综合征 主要 是 发热
不良 反应 表现 为 转氨酶 和
胃肠道 毒性 评价 为 0
栓塞 治疗 严重 肾 出血
的 疗效 评价 Blank Blank
2 例 严重 肾 碎裂
未 发生 严重 并发症 ，
综合征 ， 表现 为 低热 、
术后 IVU 可 见 肾 排泄
程度 萎缩 或 变形 ，
的 作用 比较 研究 Blank
作用 比较 研究 Blank Blank
B 组瘤体 较 与 A组
生长 特性 研究 Blank Blank
与 前 比较 差别 有
与 前 比较 差异 无
， 其内 可 见 丰富 的
Blank Blank 可见 肝内 浸润
实质 无 明显 边界 ，
结缔 组织 较 少 ，
排列 ， 可 见 纤维 间隔
2 组 比较 差异 有
微导管 注入 适量 对比 剂后
动脉 清晰 显示 。 Blank
肝的 轮廓 显示 良好 ，
其 周围 可见 粗大 的
瘤区 内部 可 见 网 片状瘤
抑制剂 TSA 可 明显 抑制
TSA 可 明显 抑制 胃癌
形态 发生 明显 改变 。
TUNEL 实验 提示 TSA 可
提示 TSA 可 诱导 胃癌
结果 也 显示 TSA 可
显示 TSA 可 诱导 胃癌
荧光 染色 提示 AIF 及
法 分析 提示 TSA 可使
我们 并未 观察 到 半胱天冬酶
SGC-7901 细胞 多 个 凋亡 相关
和 心率 较 基础 状态
CFR 有 一定 的 差异 ，
的 数值 较 低 ，
CFR 值 较为 接近 。
值 较为 接近 。 Blank
病灶 缩小 明显 ， 差异
Blank Blank 按照 RECIST 标准
RECIST 标准 评价 ， A
PD ） 比较 见表 2
的 患者 较 病灶 乏
的 实验 研究 Blank Blank
血 生化 指 标值 均
未 见 明显 异常 ，
各 实验组 比较 以及 不同
剂量 组间 比较 （ 表
粪便 放射性 基本 趋零 ，
排泄 总量 约 为 植入 量
术前 无 明显 差别 ，
， 其内 可 见 小 囊状
， 周围 可见 不同 程度
， 图像 显示 放射线 聚集
， 局部 可 见 粒子 聚集
所在 部位 可见 大小 约
可见 大小 约 2.1cm ×
A组 均 可 见 不同 范围
肝细胞 出现 明显 肝细胞 水肿
肝细胞 水肿 表现 ， B
增大 ， 较 C组 程度
A组 肝细胞 轻微 肿大 。
A组 均 可 见 肝细胞 体积
周 C组 可 见 植入 点
细胞 肝细胞 轻微 肿大 ，
纤维 组织 轻度 增生 。
， 周围 可见 肝细胞 水肿
水肿 及 少量 胶 原纤维
B 组 可 见 植入 点
植入 点 可 见 坏死 肝细胞
， 周围 可见 肝细胞 水肿
灶 及 邻近 毁损 灶
cm 及 邻近 肝叶 分别
所得 结果 发现 ： C组于
组织 ， 邻近 毁损 灶
并 见 少量 单个 核
纤维 组织 轻度 增生 。
组织 及 邻近 肝叶 取材
未 见 明显 肝细胞 损伤
， 结果 发现 除 C组
未 见 明显 异常 。
所有 动脉瘤 最 大 径
3mm 的 微小 动脉瘤 （
栓塞 结果 根据 Raymond 分级
例 ， 部分 栓塞 1
造影 均 显示 动脉瘤 显影
出血 、 评估 代偿 血流
出院 ， 根据 改良 Rankin
， 结果 提示 4 例
MRA 复查 提示 载瘤 动脉瘤
1 例 部分 栓塞 BBA
月 复查 提示 动脉瘤 不
月 复查 提示 动脉瘤 较
提示 动脉瘤 较 前 第1
次 术后 明显 缩小 ，
MRA 复查 提示 动脉瘤 稳定
月 复查 提示 弹簧 圈
再次 复查 提示 动脉瘤 不
月 复查 提示 瘤颈部 对比
月 复查 提示 弹簧 圈
显影 并 较 术前 增大
祛栓 治疗 急性 大 面积
且 症状 较 轻 ，
症状 无 明显 改善 ，
临床 症状 较 重 ，
前后 的 观察 指标 见表
患者 失血量 约 在 100
未 出现 严重 并发症 。
部位 有 轻度 的 血肿
， 未作 特别 处理 。
患者 未 能 完成 随访
的 实验 研究 Blank Blank
血管 成像 显示 ， 猪
动脉 ， 主要 由 双侧
， 操作者 将 3F 的
， 再 将 7F 血管鞘
MR 成像 证实 ， 10
网 均 完全 被 血栓
） ， 证实 血管 内
咽升 动脉 完全 再 通
后 CT 表现 。 Blank
扫描 ， 可 见 肿瘤 高
肝癌 DSA 表现 特点 与癌
表达 相关性 研究 Blank Blank
中 DSA 表现 富 血
各 指标 比较 结果 见表
后肾 动脉 完全 闭塞 （
行 手术 完全 切除 ，
， 分界 较 清 ，
术后 病理 表现 为 肿瘤 细胞
Blank Blank 急性 肾脏 出血
即刻 造影 显示 责任 血管
进行 分组 比较 ， 显示
比较 ， 显示 两 组
并与 术前 比较 。 Blank
Blank 结果 显示 术后 血红
差异 ， 提示 患者 出血
功能 ， 显示 血 肌酐
3d 时 较 术前 轻度
较 术前 轻度 增高 （
7d 时 较 术前 轻度
较 术前 轻度 降低 （
术前 相比 轻度 降低 ，
7d 时 较 术前 降低
） ， 显示 两 者
肾 功能 明显 恶化 ，
患者 的 基本 临床 特点
行 TACE 或 TAI 治疗
采血 前 至少 做 过
至少 做 过 1 次
次 TACE 或 TAI 治疗
只 做 过 1 次
次 TACE 或 TAI ，
患者 做 过 2 ~
次 TACE 或 TAI ，
所有 患者 证实 有 肝硬化
为 不 可 切除 HCC
切缘 阳性 或 血管 侵犯
无 TACE 或 TAI 相关
ng/ml ， 明显 低于 正常
前 做 过 TACE 治疗
未 做 过 TACE 治疗
Blank 肿瘤 最 大 径
与 肿瘤 最 大 径
PLT 计数 或 胆红素 水平
生存 分析 显示 肝外 转移
Blank Blank 将 血清 nm23-H1
因素 分析 显示 影响 预后
结果 我们 可以 看出 血清 nm23-H1
亚群 水平 较 治疗前 均
两 组 比较 差异 无
水平 下降 较 纯 中医
中医 组 明显 ， 差异
恢复 时间 约 在 1
1 周 左右 。 Blank
栓塞 的 近期 疗效 影响
的 DSA 表现 主要 分为
DSA 表现 主要 分为 富
肾癌 转移瘤 主要 为 富血供型
胰腺癌 转移瘤 主要 为 少
差别 不 明显 （ P
标志物 均 明显 下降 ，
生存 期 比较 差异 均
生存 期 比较 差异 无
均 无 严重 并发症 。
不良反应 中 主要 以 消化道
， 且 多 为 Ⅰ ~
， 无 严重 不良 反应
造影 结果 显示 ， 鼻咽
纤维瘤 造影 主要 表现 为
造影 主要 表现 为 动脉 期
延迟 期 可 见 团 块状
血 供 多 较 丰富
供 多 较 丰富 。
分支 参与 部分 供 血
均 未 发现 对 侧
例 出现 轻度 患 区胀痛
栓塞 等 严重 并发症 发生
检查 均 证实 为 鼻咽
实验 中 发现 ， 栓塞
Blank Blank 将 装配 好
， 逐渐 将 栓塞 胶体
钉头 ” 部分 推入 有机
静 置 数 分钟 后
分钟 后 可 见 栓塞 体
栓塞 体 明显 膨胀 ，
壁时 ， 可 感觉 到
的 螺母 将 输送 鞘中
钉杆 ” 部分 完全 送出
” 部分 完全 送出 。
钉头 ” 部分 在 有机
钉杆 ” 部分 在 有机
免疫 的 近期 影响 Blank
个 表中 可以 看出 3 组
均 有 明显 减低 （
A组 有 明显 增加 （
组 有 明显 下降 （
A组 有 明显 升高 （
组 无 明显 变化 。
病灶 活性 评估 中 的
表 1 可 计算 出
； 阳性 预测 值 =
； 阴性 预测 值 =
患者 造影 显示 6 例
即刻 造影 显示 ： 锁骨
动脉 血流 完全 通畅 ，
均 未 发现 锁骨 下
Blank 选择性 急性 肺 血管
造影 ， 评价 绵羊 解剖
均 无 明显 变化 。
； 共 发现 肿瘤 肝外
肝副右 动脉 或 替代 肝右
起始 部 多数 呈 直角
呈 直角 或 近似 直角
直角 或 近似 直角 （
间隔 时间 约 1 个
期 MIP 或 VR 图像
VR 图像 显示 肿瘤 肝外
值 动态 评估 原发性 肝癌
图像 质量 较 好 ，
解剖 结构 显示 不清 ，
值 误差 较 大 ；
， 图像 接近 T2WI ，
； 而 当 b值取 500s/mm2
ADC 值 较 准确 。
T1WI 上呈 略 低 信号
DWI 上呈 明显 高信号 ，
信号 强度 轻微 降低 ，
肝脏 对比 明显 ， 动态
动脉 期 明显 强化 ，
， 病灶 较 小 呈
， 病灶 较 大 合并
癌灶碘油 沉积 完全 ， T1WI
T1WI 呈高 或 中等 信号
FST2WI 呈低 或 中等 信号
后 无 明显 强化 ，
月 随访 发现 病灶 碘油
积处 呈 略 高 信号
b值 时 显示 对比 明显
显示 对比 明显 ， 血管
血管 造影 显示 部分 肿瘤
造影 显示 部分 肿瘤 染色
不 沉积 或 少量 沉积
沉积 或 少量 沉积 ，
变化 不 明显 。 Blank
个 月 显示 疗效 好
， DWI 显示 高 信号
ADC 值 较 术前 增高
， 前后 比较 经 t检验
ADC 值 较 术前 增高
， 前后 比较 经 t检验
与 治疗前 比较 差异 有
药代 动力学 研究 Blank Blank
和 （ 或 ） 明胶
1 中 可 见 A 、
组 峰值 明显 高于 A组
组 曲线 明显 低平 ，
下降 幅度 较 B 组
B 组 明显 缓慢 。
峰值 使用 近似 t 检验
A组 峰值 明显 低于 B
0.01 ， 说明 A 组曲
线下 面积 明显 低于 B组
3 中 得出 ： 采用
0.01 ， 说明 胃肠道 反应
占 比例 明显 大于 B
占 比率 明显 低于 B组
B组 ， 说明 A 组
呕吐 程度 明显 低于 B
4 中 得出 ： 采用
其他 并发症 比较 A 、
过程 中 常 出现 剧烈
缓慢 灌注 多 能 缓解
灌注 多 能 缓解 。
坏死 等 严重 并发症 ，
分析 初步 研究 Blank Blank
真假 腔 近 端 （
、 中间 部分 （ 近
部分 （ 近 内脏 分支区
面 压强 略 高于 假
Blank Blank 当 夹层 远端
面 压强 明显 低于 假
两 腔 之间 的 隔膜
腔内 仅有 少量 低速 血流
Blank Blank 多 破口 真
的 血液 主要 在 真
力学 上 表现 为 血流 “
” ， 部分 血流 流入
Blank Blank 当 夹层 真
求解 结果 表明 真 腔内
血流 流量 将 明显 低于
流量 将 明显 低于 假
破口 ， 会 对 AD
” 不但 会 出现 在
出现 在 近 端 夹层
， 也 会 出现 在
良好 ， 可 见 动脉瘤 明显
见 动脉瘤 明显 的 搏动
长径 的 比较 运用 配对
病理 结果 显示 动脉瘤 模型
中弹 力层 基本 缺失 ，
建议书 差异 比较 Blank Blank
增加 率 最 高 的
剂量 增加值 略 大于 男性
剂量 变化 较为 明显 的
变化 较为 明显 的 主要
明显 的 主要 器官 中
也 都 很 明显 ，
都 很 明显 ， 分别
瘤的 有效性 研究 Blank Blank
移植瘤 大小 约 8~10mm ，
相继 出现 明显 恶病质 （
恶病质 （ 严重 消瘦 ，
植入 实验 研究 。 Blank
过程 中 发现 实验组 瘤体
裸鼠 ， 观察 其 瘤体
， 见 大量 乳白色 液体
Blank 对照组 观察 2 周
