种 图形 明显 不同于 转移性
Blank Blank 比较 多 种
Blank 比较 多 种 胸腹 积水
腺癌 中 约 有 3.8%
表 5 显示 通过 随访
随访 患者 或 家属 而
与 患者 或 家属 联系
而 不 能 最终 明确
- ICM 发现 8 例
中 均 可 见 有 >
下降 ， 表现 为 时间 和
） ， 呈现 剂量 依赖性
） ， 提示 ELE 可
提示 ELE 可 抑制 TOPO
打结 ， 适当 时候 又
， 从而 可 催化 超螺旋
作用 ， 观察 ELE 对
1μg/μL 时 完全 抑制 了
， 如图 可 见 抑制 了
Blank 结果 表明 ， ELE
统计 分析 显示 ， ELE
80μg/mL组 相 比较 差异 有
PBR322 DNA 观察 ELE 对
Blank 结果 表明 ， 对照组
） ， 提示 ELE 不
ELE 不 能 直接 引起
DNA 不 能 产生 直接
重建 术 观察 Blank Blank
牵扯感 ， 稍 休息 后
体质 量 明显 减轻 外
生化 指标 较 术前 均
均 有 明显 的 提高
造影 检查 发现 本级 病例
胃肠 管 明显 扩张 ，
排空 时间 较为 满意 。
等 ， 发现 血红 蛋白
数术 后 较 术前 有所
体外 实验 研究 Blank Blank
姜 黄素 可以 不同 程度
率 相 比较 差异 有
浓度 呈 明显 的 剂量
显微镜 下 观察 到 细胞
并 见 大量 细胞 脱落
中 出现 很多 的 悬浮 细胞
碎片 ， 表明 高 浓度
， 还 可能 有 细胞
作用 ， 可以 直接 杀伤
的 细胞 数 表示 细胞
细胞 数 表示 细胞 侵袭
Blank 结果 显示 姜黄 素
姜黄 素 能 抑制 CNE-2Z
对照组 细胞 数 比较 ，
细胞 数 比较 ， 差异
RT-PCR 结果 显示 ， 各
电泳 带 约 在 377
分析 结果 显示 ， CNE-2Z
的 升高 呈现 逐渐 降低
各 组间 比较 差异 均
Westernblot 结果 显示 ， 不同
中的 功能 研究 Blank Blank
的 细胞 可 见 绿色 荧光
镜 下 观察 基因 沉默
及 基因 过 表达 阴性
细胞 ， 约 80% 的
实验 结果 显示 ， Med19-siRNA
scr-siRNA 组 比较 均 明显
比较 均 明显 降低 （
沉默 率 约 为 82% ，
scr-siRNA 组 比较 差异 无
实验 结果 显示 ， Med19-OE组
FUGW 组 比较 均 明显
比较 均 明显 升高 （
19 基因 过 表达 倍数
表达 倍数 约 为 28.7 倍
FUGW 组 比较 差异 无
Blank Blank 根据 连续 5
分析 ， 发现 沉默 Med
19 基因 可以 明显 抑制
基因 可以 明显 抑制 Saos2
scr-siRNA 组 比较 ， 差异
Blank Blank 过 表达 Med
基因 ， 可以 明显 促进
， 可以 明显 促进 Saos2
FUGW 组 比较 ， 差异
检测 结果 显示 ， Med19-siRNA
scr-siRNA 组 比较 ， G0
FUGW 组 比较 ， G0
mm3 ] 比较 显著 缩小
scr-siRNA 组 比较 均 显著
Blank Blank 观察 15d 后
g ] 比较 显著 降低
Shh 蛋白 主要 在 细胞质
呈 棕黄色 或 棕褐色 颗粒
检测 结果 显示 ， 正常
Blank 在 部分 肝硬化 组织
表 2 可 见 Gli2 蛋白
大小 、 是否 合并 肝硬化
感染 无 明显 相关性 。
均 无 明显 相关性 。
临床 中 常 用 作为 肝癌
经 检测 显示 血清 甲胎蛋白
表达 无 明显 相关 （
的 临床 研究 Blank Blank
信号 各 显示 为 2
无信 号为 完全 缺失 ，
信号 为 部分 缺失 ，
体内 实验 研究 Blank Blank
变化 有 明显 差异 （
Blank Blank 根据 给药 后
） ， 观察 终点 可见
观察 终点 可见 HCPT0.2mg/kg组 、
质量 增长 较 阴性 对照组
阴性 对照组 明显 缓慢 （
质量 增长 最 缓慢 ，
即 出现 轻微 下降 ，
检测 结果 显示 ： 2
值 有 一定 影响 ，
血液学 影响 较 CTX 组小
实验 结果 表明 ， 2
已 在 许多 肿瘤 中
中 被 证实 是 一
实验 结果 显示 ： 阴性
对照组 中 可 见 微血管 广泛
微血管 计数 较 阴性 对照组
阴性 对照组 明显 减少 （
检测 结果 显示 ， VEGF
表达 ， 主要 表达 于
表达 具有 一定 的 抑制 作用
检测 结果 显示 ， 常规
VEGFmRNA 表达 明显 上调 。
Westernblot 结果 显示 ， MKN
的 表达 明显 高于 对照组
检测 结果 显示 ： 加入
的 表达 明显 上调 （
的 表达 明显 下降 （
Blank Blank 提示 H.pylori 通过
分析 结果 显示 ， 在
组 相比 明显 升高 ，
组 相比 明显 降低 ，
分析 结果 显示 ， 在
检测 结果 显示 ， 转染
的 表达 明显 高于 未
的 表达 明显 低于 单独
） ， 说明 Plk3 可以
说明 Plk3 可以 抑制 p73
检测 结果 显示 ， 转染
的 表达 明显 高于 未
相比 无 明显 变化 （
， 进一步 说明 Plk3 的
细胞 克隆 数 为 168
细胞 克隆 数 为 21
细胞 克隆 数 为 120
细胞 克隆 数 为 20
） ， 说明 Plk3 抑制
纯化 后 可以 有效 地
显微镜 下 观察 EGFP-S180 和
EGFP-S180 细胞 能 在 小鼠
组 小鼠 比较 ， EGFP-S180
时间 没有 明显 改变 （
结果 均 显示 有 亮
Blank Blank 当 药物 质量
空白 对照组 比较 ， 对
抑制 不 明显 ， 即使
均 呈 明显 的 抑制
与 对照组 之间 的 差异
各 组 之间 的 差异
各 组 之间 差异 也
检测 结果 显示 各 组
与 对照组 比较 ， 1.0mg/mL组
下降 不 明显 （ MOD
半定量 分析 发现 ， 作用
的 表达 呈现 出 相应
与 对照组 比较 ， 氧化
患者 符合 观察 标准 。
患者 均 能 继续 接受
， 持续 约 4 周
药物 减量 或 停药 。
周 后 明显 减轻 ，
但 有 明显 减轻 趋势
虽然 不 完全 与 服用
下降 ， 按照 CTCAE3.0 评为
Blank Blank 按照 第1 种
血小板 均 能 恢复 至
升高 ， 按照 CTCAE 评级
服药 有 明显 的 相关性
后 腹痛 可 缓解 ，
， 后仍 按照 第1 种
的 体内外 研究 Blank Blank
Blank 本 研究 使用 皮下
上 呈 轻度 下降 的
于 Fumagillin 或 Cyclo 下
未 见 明显 变化 （
Blank 本 研究 采用 BrdU
， Fumagillin 或 Cyclo 处理
HUVECs 增殖率 明显 下降 ，
的 增殖率 较 单独 处理
Blank HUVECs 可 在 Matrigel
Blank 本 研究 使用 了
， 结果 发现 Fumagillin 处理
的 基因 多 与 细胞
Blank 为 验证 基因 芯片
， 本 研究 用 定量
Blank 为了 观察 Chk1 和
Westernblot 结果 显示 （ 图
而 逐渐 明显 减少 （
水平 无 明显 变化 。
检测 Chk1/2siRNA 是否 可以 有效
Chk1/2siRNA 是否 可以 有效 降低
Westernblot 结果 显示 ， 针对
的 siRNA 可以 显著 降低
Blank 结果 表明 ， 针对
的 siRNA 可以 有效 沉默
检测 结果 显示 ， 转染
凋亡 百分数 明显 高于 转染
） ， 表明 抑制 Chk1
Chk1 表达 可 显著 增强
并 无 明显 变化 ，
变化 ， 表明 抑制 Chk2
表达 并不 能 促进 姜黄
检测 结果 显示 ， 与
并 无 明显 变化 ，
变化 ， 表明 抑制 Chk1/2
测定 结果 表明 UA 呈
术 结果 显示 UA 能
显示 UA 能 诱导 细胞凋亡
周期 ， 将 细胞 阻滞
Blank 结果 显示 UA 作用
后 ， 可 呈 剂量
表达 的 研究 Blank Blank
， 呈 明显 的 时间
检测 结果 显示 ， GEM
仪 分析 显示 ， 3.10
细胞凋亡 率 较 低 ，
h 组间 比较 ， 差异
h 组间 比较 ， 差异
参照 ， 比较 β -
各 实验组 较 对照组 上升
） ； 提示 XIAPmRNA 的
h 组间 比较 ， 差异
h 组间 比较 ， 差异
参照 ， 比较 β -
各 实验组 较 对照组 上升
差异 ， 提示 XIAP 的
h 组间 比较 ， 差异
h 组间 比较 ， 差异
成分 也 偶尔 呈弱 表达
表 1 可 见 ， 77
Blank D2-40 主要 标记 位于
的 淋巴管 很 少 表达
Blank Blank 有时 ， 在
淋巴 管内 可 见 侵入 的
