爱尔兰岛 ， 约 占 该
英国 ， 称 北爱尔兰 。
外交 上 有时候 有 争议
个 组成 部分 。 Blank
政府 在 能 进口 美洲
未 提供 太 多 协助 ，
， 让 许多 爱尔兰人 对
1919年 ， 大多数 于 1918年
保留 了 许多 成员国 的
（ 领土 约 占 半岛
金日成 所 提出 的 主体
是 坚持 计划 经济 、
成为 朝鲜 最 高 领导人
Blank Blank 根据 考古 所得
共和国 官方 宣称 大同江 流域
》 是 最 早 记载
也 是 最 早 提及
文献 ， 据 推断 大约 在
据 推断 大约 在 公元前
公元前 900年 左右 。 Blank
Blank Blank 根据 中国 西汉
， 史 称 “ 朝鲜
， 史 称 “ 统一
， 亦 称 “ 王
， 史 称 “ 李氏朝鲜
后 ， 根据 雅尔塔 会议
的 朝鲜 最 终于 板门店
两 大 部分 ， 之间
部分 ， 之间 有 南海
越 州 之间 ， 由于
地理 位置 接近 赤道 ，
及 其他 少数 民族 共同
元首 称为 最 高 元首
最大 党 或 联盟 领袖
Blank Blank 主要 参与 的
栖息 的 最 古老 证据
古老 证据 可 追溯 到
古代 印度人 称 马来半岛 为
， 也 称 马来半岛 为
区域 建立 许多 贸易 港
城镇 ， 依据 中国 史料
的 最初 几 个 世纪 直
的 人们 主要 信仰 佛教
13 世纪 之间 ， 马来半岛
马来半岛 的 许多 地区 由
帝国 对于 大部分 的 印度尼西亚
120 度 之间 。 Blank
Blank 马来西亚 主要 由 东马
， 并 大略 依据 地理
并 大略 依据 地理 特征
Blank Blank 主张 对 部分
主张 对 部分 南海 岛屿
疆界 依然 有待 继续 协商
堪称 世界 最 重要 的
马来西亚 是 相对 开放 的
宏观 经济 计划 ， 在
， 并且 依据 购买力 平价
Blank 考古学 研究 表明 ，
考古学 研究 表明 ， 美国
中 的 大多数 是 黄种人
5万 年 左右 出现 在
Blank Blank 基本 与 人类
Blank Blank 主要 的 移民
发生 在 约 1.4万 －
世界 第三 或者 第四 大
中国 之前 或 之后 。
在 南部 较为 宽广 ，
在 北部 较为 狭窄 ，
地 也 有 一些 冰川 沉积
， 这里 相对 而言 较为
相对 而言 较为 平坦 ，
地形 特色 稀少 的 大
上 曾 被 称为 美索不达米亚 ，
文明 的 主要 发源 地
国民 议会 或 " Majlisal-Watani
伊拉克 的 大部分 国土 都
和 底格里斯河 之间 的 地区
每 年 将 7千万 立方米
， 但 很多 湿地 在
的 北部 主要 是 山地
冬季 气温 较 低 ，
低 ， 偶尔 会 有
， 偶尔 会 有 大雪
， 甚至 会 由此 引起
穿城 而 过 。 Blank
Blank 其他 主要 城市 包括
伊朗 ， 传统 上 提供 95%
伊 战争 大量 的 战争 开销
开支 ， 大量 借款 ，
经济 损失 估计 超过 1000亿
( 又 称 中东 地区
居住 , 约 3000年 前
已 建立 一些 邦国 ,
Blank 和 多数 极权 政体
， 伊朗 自称 是 中东
地区 ） 最 民主 的
， 有着 较为 发达 的
选举 结果 能 在 相当
结果 能 在 相当 程度 上 反应 真实
， 伊朗 在 一定 限度 内 容忍 公民
这 种 将 神权 统治
Blank Blank 根据 越南 的
越南 历史 可 从 现代
10世纪 的 大部份 时间 中
朝贡 国 或 藩属国 。
全 国 大约 331,688 平方千米
为 84% 左右 。 Blank
37 摄氏度 之间 。 Blank
八 大 提出 要 大力
2008年 ） 约 893亿 美元
所得 现 约 1000 美元
落 后于 大部分 的 东盟
治世 之 能 臣 ，
抑 可谓 非常 之人 ，
曹操 的 评价 ， 说曹
感性 地 说 ： “
不 知 当 几 人
知 当 几 人 称帝
称帝 ， 几 人 称王
同时 也 揭示 他 年少
故里 ， 过 这 夏天
曾 发动 多 次 屠城 ，
平民 达 数 十万 之
达 数 十万 之 多 。 Blank
东汉 的 许多 恶政 ，
难道 不 应该 肯定 ？
了不起 ？ 说 曹操 是
老百姓 这么 说 ， 那
正面 的 评价 认为 ， 他
进步 的 表现 。 Blank
， 美国 《 纽约 时报 》 认为 美国 民众
” 不仅 表明 了 他
同时 也 表明 了 大清
印象 时 说 ： “
： “ 我 认为 李 是
， 没受 过 一点 欧洲
但 受 过 高深 的
， 而 主要 的 是
正 因为 如此 ， 他
方面 起 过 重要 的
Blank Blank 有 传闻 说 俾斯麦 得知
说 俾斯麦 得知 李 被
得知 李 被 称为 “ 东方
” 后 说 ： “
“ 我 可 不 想
一 个 评价 不一 的
中国 共产党 宣称 ： 毛泽东
占 中国 绝大多数 人口 的
大陆 ， 将 之前 国民
政府 未 能 有效 统治
统治 的 部分 地区 （
从未 有 过 的 政治
增长 速度 最 快 的
于 50年代 提出 人口 计划
提出 人口 计划 的 概念
并且 中国 最 早 的
早 的 计划 生育 部门
的 国务院 计划 生育 办公室
时代 的 计划 生育 不
间 的 约 65 岁
Blank Blank 一些 农民 和
Blank 一些 农民 和 农业 学者 认为 毛泽东 主政
是 本世纪 最 大 的
Blank Blank 批评 毛泽东 者 认为 这 是
， 而 支持 毛泽东 者 认为 这 是
主任 ） 说 ： “
： “ 他 （ 毛泽东 ） 认为 ‘ 治理
， 并且 自称 ‘ 坑儒
秦始皇 还 多 ’ 。
倾向 不够 明显 , 不
升学 的 可能 。 Blank
一 位 极 富 传奇
的 雄才 大略 的 划时代
天下 、 称 皇帝 、
， 誉之者 称 其 为
者 则 称 其为 专制
分析 ， 主要 是 认为
主要 是 认为 孙中山 的确
复杂 的 各 种 反满 势力
， 但 较 具 理想
色彩 ， 较 能为 制度
之 手段 较为 温和 ，
善后 措施 较为 宽容 ，
不 采 彻底 铲除 之
与 蒋中正 或 毛泽东 等
Blank 孙中山 较 全面 地
其 个人 认为 有 必要
他 个人 提出 的 “
的 深入 探索 。 Blank
与 创新 主张 ， 但
虚无主义者 如 刘宗正 指责 孙中山 有
思想 ， 指出 孙中山 试图
指出 孙中山 试图 宣扬 汉族
汉族 同化 少数 民族 的
历史 上 说 ， 我们
祖宗 从前 常 用 政治 力去
Blank “ 有 人 说 ， 清室
民族 主义 可以 不 要
Blank 现在 说 五 族
呢 ？ 我 的 意思 ， 应该
意思 ， 应该 把 我们
其实 更 接近 美国 的
Blank Blank 有 一些 研究 假设
有 一些 研究 假设 孙中山
一些 研究 假设 孙中山 对
， 曾 主张 把 中国
黑 龙 会 关系 密切
然而 此类 主张 虽然 在
组织 中 相当 普通 。
Blank 但 据 日本 《
， 而 据 考证 此 书
此 书 会 编撰 捏造
此 言论 主要 系 为了
， 都 主张 属于 中国
历来 有 各 种 不同 的
不同 的 评价 ， 角度
还 没 完全 占据 统治
武则天 的 评价 相对 比较
的 评价 相对 比较 积极
评价 相对 比较 积极 正面
武则天 的 评价 。 Blank
就 曾 评价 武则天 “
惟 不 可 否认 的
善任 ， 能 重用 狄仁杰
历史 做出 过 巨大 的
也 有 不少 负面 评价
不少 负面 评价 ， 岑仲勉
， 岑仲勉 说 ， “
竟然 拥有 不少 男性 嫔妃
公开 与 多名 男性 欢好
辩护 ， 说 ： “
宠幸 不过 数 人 ，
一 位 极 具 争议
、 评论 几 百 年
历史 记载 十分 混乱 ，
纠葛 也 尤其 复杂 [
其中 ， 主要 争议 的
文龙 、 是否 背叛 明朝
》 中 表示 ， 袁崇焕
功劳 不 应 埋没 [
》 中 主张 袁崇焕 妄杀
皇帝 亦 表示 ， 袁崇焕
徐石麒 则 认为 袁崇焕 表面
季 北 略 》 主张
略 》 主张 袁崇焕 诛杀
， 但是 认为 崇祯 皇帝
时期 ， 毛泽东 也 主张 袁崇焕 为
Blank Blank 部分 学者 认为
Blank 部分 学者 认为 袁崇焕 杀
